age_cat_Greater than 45,age_cat_Less than 25,race_African-American,decile_score,priors_count,c_offense_age_in_days,c_arrest_age_in_days,r_offense_age_in_days,vr_offense_age_in_days,c_jail_in_age_in_days,r_jail_in_age_in_days
1.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.7474305555555556,0.0
0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3,0,1.0,0.0,-159.0,-159.0,0.8434375,0.0
0.0,1.0,1.0,4,4,1.0,0.0,-63.0,0.0,0.7926620370370371,-63.0
0.0,1.0,1.0,8,1,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1,2,0.0,76.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.20159722222222223,0.0
0.0,0.0,0.0,6,14,1.0,0.0,-40.0,0.0,0.7858333333333334,-40.0
0.0,0.0,0.0,4,3,0.0,1.0,0.0,0.0,0.6282060185185185,0.0
0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.7669675925925926,0.0
0.0,1.0,0.0,10,0,1.0,0.0,0.0,0.0,0.654525462962963,0.0
0.0,0.0,0.0,5,0,1.0,0.0,0.0,0.0,0.890775462962963,0.0
0.0,1.0,0.0,3,1,308.0,0.0,-428.0,-428.0,-428.16358796296294,-428.0
0.0,0.0,0.0,4,0,1.0,0.0,0.0,0.0,0.7284027777777777,0.0
0.0,1.0,1.0,6,3,0.0,0.0,-128.0,0.0,-0.17193287037037036,0.0
0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.14447916666666666,0.0
0.0,1.0,0.0,3,0,0.0,0.0,0.0,0.0,-0.0871875,0.0
0.0,0.0,1.0,4,0,1.0,0.0,0.0,0.0,0.5047569444444444,0.0
1.0,0.0,0.0,1,1,0.0,490.0,-216.0,0.0,19.78266203703704,-216.0
0.0,0.0,1.0,3,7,71.0,0.0,-22.0,0.0,-22.094409722222224,-22.0
0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.1395486111111111,0.0
0.0,0.0,1.0,10,3,1.0,0.0,0.0,0.0,0.7624768518518519,0.0
0.0,0.0,0.0,5,6,1.0,0.0,-241.0,-241.0,0.6998611111111112,0.0
0.0,0.0,0.0,3,5,1.0,0.0,-163.0,0.0,0.9325810185185185,-164.0
1.0,0.0,1.0,6,13,0.0,1.0,-1.0,0.0,0.7158796296296296,-1.0
0.0,1.0,1.0,9,1,1.0,0.0,-30.0,0.0,0.9298842592592592,-30.0
0.0,0.0,0.0,2,0,0.0,0.0,-81.0,0.0,-0.23853009259259259,0.0
0.0,1.0,0.0,4,0,2.0,0.0,0.0,0.0,1.8248958333333334,0.0
0.0,1.0,1.0,-1,2,0.0,0.0,-88.0,0.0,-0.09270833333333334,0.0
0.0,1.0,0.0,4,1,1.0,0.0,-411.0,0.0,-0.20141203703703703,0.0
0.0,0.0,0.0,3,1,133.0,0.0,0.0,0.0,131.49341435185184,0.0
0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.8448842592592593,0.0
0.0,0.0,0.0,3,0,1.0,0.0,0.0,0.0,0.6400925925925925,0.0
1.0,0.0,1.0,9,0,1.0,0.0,0.0,0.0,0.6905439814814814,0.0
0.0,0.0,1.0,6,8,0.0,4296.0,0.0,0.0,-0.16434027777777777,0.0
1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3,8,1.0,0.0,-184.0,-658.0,0.6200231481481482,0.0
0.0,0.0,0.0,3,3,0.0,95.0,0.0,0.0,-53.46885416666667,0.0
0.0,0.0,1.0,7,5,1.0,0.0,-521.0,0.0,0.6750578703703703,-521.0
0.0,0.0,1.0,10,0,1.0,0.0,-295.0,-295.0,-0.5353009259259259,0.0
0.0,0.0,0.0,9,9,0.0,0.0,-162.0,0.0,-0.10326388888888889,-162.0
0.0,0.0,1.0,8,4,1.0,0.0,-6.0,0.0,0.8701157407407407,-7.0
1.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,0.6787847222222222,0.0
0.0,0.0,0.0,3,2,1.0,0.0,0.0,0.0,-0.055393518518518516,0.0
1.0,0.0,0.0,1,0,0.0,1.0,0.0,0.0,0.7242824074074075,0.0
0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,10,15,0.0,0.0,0.0,0.0,-0.06724537037037037,0.0
0.0,0.0,1.0,3,5,1.0,0.0,0.0,0.0,0.570300925925926,0.0
1.0,0.0,0.0,5,19,1.0,0.0,0.0,0.0,0.7177893518518519,0.0
1.0,0.0,0.0,3,7,0.0,0.0,-659.0,0.0,0.8005324074074074,0.0
0.0,0.0,0.0,8,6,382.0,0.0,0.0,0.0,-81.25403935185186,0.0
0.0,0.0,0.0,5,4,1.0,0.0,-223.0,0.0,0.9246064814814815,-280.0
0.0,1.0,0.0,2,1,0.0,0.0,-240.0,0.0,-0.15824074074074074,-240.0
0.0,0.0,1.0,9,21,0.0,0.0,-514.0,0.0,-0.09693287037037036,-514.0
0.0,0.0,0.0,2,0,1.0,0.0,0.0,0.0,-0.5305555555555556,0.0
0.0,1.0,1.0,8,2,0.0,1.0,0.0,0.0,0.5576041666666667,0.0
1.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,0.8025694444444444,0.0
0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2,2,1.0,0.0,-72.0,0.0,0.6354050925925926,-72.0
0.0,0.0,1.0,6,0,1.0,0.0,0.0,0.0,0.5721064814814815,0.0
1.0,0.0,1.0,2,7,1.0,0.0,0.0,0.0,0.604212962962963,0.0
0.0,0.0,0.0,7,8,0.0,0.0,0.0,0.0,-0.04873842592592593,0.0
0.0,0.0,1.0,9,22,1.0,0.0,0.0,0.0,0.8586921296296296,0.0
0.0,0.0,1.0,7,0,0.0,0.0,-61.0,0.0,-0.1867824074074074,-62.0
0.0,0.0,0.0,1,0,2.0,0.0,0.0,0.0,0.7716898148148148,0.0
0.0,0.0,0.0,10,9,1.0,0.0,-8.0,-8.0,0.5708912037037037,-8.0
0.0,0.0,1.0,8,13,1.0,0.0,-9.0,-9.0,0.8297569444444445,-9.0
1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.19653935185185184,0.0
0.0,0.0,1.0,3,4,59.0,0.0,-257.0,0.0,58.8284375,0.0
0.0,0.0,1.0,4,0,1.0,0.0,0.0,0.0,-0.18638888888888888,0.0
0.0,0.0,0.0,2,1,24.0,0.0,-441.0,0.0,23.77872685185185,-441.0
0.0,0.0,0.0,2,0,1.0,0.0,0.0,0.0,0.5949421296296297,0.0
1.0,0.0,0.0,2,0,1.0,0.0,0.0,0.0,0.5140972222222222,0.0
0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,-0.1250462962962963,0.0
1.0,0.0,0.0,6,20,0.0,562.0,-275.0,0.0,-302.4717708333333,0.0
0.0,0.0,0.0,9,1,0.0,0.0,0.0,0.0,-0.23363425925925926,0.0
1.0,0.0,0.0,1,1,0.0,219.0,0.0,0.0,218.83047453703705,0.0
0.0,0.0,1.0,6,3,1.0,0.0,0.0,0.0,0.5053703703703704,0.0
0.0,0.0,1.0,5,15,1.0,0.0,-1077.0,0.0,0.6232291666666666,0.0
0.0,1.0,1.0,4,2,1.0,0.0,-575.0,0.0,0.6949074074074074,-576.0
0.0,0.0,1.0,5,0,1.0,0.0,0.0,0.0,0.6190972222222222,0.0
0.0,0.0,0.0,8,3,1.0,0.0,0.0,0.0,0.728275462962963,0.0
0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,-0.11864583333333334,0.0
1.0,0.0,1.0,1,4,1.0,0.0,0.0,0.0,0.6134375,0.0
1.0,0.0,0.0,5,8,0.0,13.0,0.0,0.0,12.641550925925927,0.0
0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.8430324074074074,0.0
0.0,0.0,1.0,3,5,1.0,0.0,0.0,0.0,0.6772916666666666,0.0
1.0,0.0,1.0,7,10,906.0,0.0,-44.0,0.0,37.61133101851852,0.0
0.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,0.6734143518518518,0.0
0.0,0.0,1.0,10,15,1.0,0.0,-44.0,0.0,0.7929050925925926,-44.0
0.0,0.0,0.0,2,4,1.0,0.0,-272.0,0.0,0.5004050925925926,0.0
1.0,0.0,0.0,6,9,1.0,0.0,0.0,0.0,0.8328356481481481,0.0
0.0,1.0,1.0,4,1,1.0,0.0,-371.0,0.0,0.7105439814814815,0.0
0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.09959490740740741,0.0
0.0,1.0,1.0,10,2,114.0,0.0,-910.0,0.0,-70.06319444444445,-910.0
0.0,0.0,1.0,9,4,0.0,1.0,-209.0,0.0,0.5597106481481482,0.0
1.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,-0.5230208333333334,0.0
0.0,0.0,1.0,6,6,0.0,0.0,-193.0,0.0,-0.09153935185185186,-193.0
0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.9346875,0.0
1.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,-0.11965277777777777,0.0
1.0,0.0,0.0,1,6,1.0,0.0,-323.0,-384.0,0.7618055555555555,0.0
0.0,1.0,0.0,4,1,1.0,0.0,0.0,0.0,0.745636574074074,0.0
0.0,0.0,0.0,3,2,1.0,0.0,0.0,0.0,0.5023726851851852,0.0
0.0,0.0,1.0,4,0,0.0,0.0,0.0,0.0,-0.1882523148148148,0.0
0.0,0.0,1.0,4,1,0.0,1.0,0.0,0.0,0.5250810185185185,0.0
0.0,1.0,1.0,6,4,1.0,0.0,0.0,0.0,0.5791319444444445,0.0
0.0,0.0,1.0,6,5,0.0,0.0,-253.0,0.0,-0.09221064814814815,-253.0
0.0,0.0,0.0,6,1,0.0,1.0,-341.0,0.0,0.8587037037037037,0.0
0.0,0.0,1.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,4,1,325.0,0.0,0.0,0.0,324.6213773148148,0.0
0.0,0.0,1.0,2,2,0.0,15.0,0.0,0.0,14.845821759259259,0.0
1.0,0.0,1.0,1,1,0.0,78.0,0.0,0.0,77.53268518518519,0.0
0.0,1.0,1.0,3,1,1.0,0.0,-407.0,0.0,-0.5049652777777778,0.0
0.0,1.0,0.0,8,0,1.0,0.0,0.0,0.0,0.4832523148148148,0.0
0.0,0.0,1.0,4,1,1.0,0.0,-11.0,-11.0,0.6237847222222223,-11.0
0.0,0.0,0.0,7,1,44.0,0.0,-258.0,-258.0,42.956631944444446,-282.0
1.0,0.0,1.0,1,2,0.0,67.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1,3,711.0,0.0,0.0,0.0,388.5547337962963,0.0
0.0,0.0,1.0,2,0,1.0,0.0,0.0,0.0,0.8515277777777778,0.0
0.0,0.0,1.0,2,1,0.0,5185.0,0.0,0.0,0.5908912037037037,0.0
1.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.5177083333333333,0.0
0.0,0.0,1.0,10,8,1.0,0.0,-55.0,-792.0,0.9065162037037037,-55.0
1.0,0.0,1.0,9,0,0.0,1372.0,0.0,0.0,0.7244907407407407,0.0
1.0,0.0,1.0,5,3,1.0,0.0,0.0,0.0,317.8158449074074,0.0
0.0,0.0,1.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,6,3,7.0,0.0,0.0,0.0,4.473344907407407,0.0
1.0,0.0,0.0,1,0,0.0,1.0,-182.0,0.0,0.4698611111111111,-317.0
0.0,0.0,1.0,10,14,0.0,1.0,-100.0,-1054.0,0.9024074074074074,-100.0
0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,5,0,1.0,0.0,-119.0,-119.0,0.7566898148148148,-119.0
0.0,1.0,1.0,9,2,0.0,0.0,-175.0,0.0,-0.11094907407407407,-176.0
0.0,1.0,1.0,7,2,0.0,192.0,-182.0,0.0,-137.3581712962963,0.0
1.0,0.0,1.0,6,6,0.0,864.0,0.0,0.0,0.5543171296296296,0.0
0.0,0.0,0.0,5,4,0.0,1.0,0.0,0.0,0.6251967592592592,0.0
0.0,0.0,1.0,7,10,0.0,138.0,0.0,0.0,180.60361111111112,0.0
0.0,0.0,1.0,2,1,0.0,1.0,0.0,0.0,0.7113541666666666,0.0
0.0,0.0,1.0,7,9,1.0,0.0,-27.0,0.0,-0.5169212962962964,-28.0
0.0,0.0,0.0,8,7,1.0,0.0,-377.0,0.0,-0.20355324074074074,-378.0
0.0,1.0,0.0,6,1,1.0,0.0,-253.0,0.0,-0.5211689814814815,-253.0
0.0,0.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5,6,1.0,0.0,0.0,0.0,238.86090277777777,0.0
0.0,0.0,0.0,8,9,1.0,0.0,-145.0,-186.0,0.6891203703703703,0.0
1.0,0.0,1.0,7,12,804.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3,3,21.0,0.0,0.0,0.0,20.653136574074075,0.0
0.0,1.0,0.0,7,0,1.0,0.0,0.0,0.0,0.5269212962962962,0.0
0.0,0.0,0.0,1,2,3.0,0.0,-63.0,0.0,1.4650347222222222,-63.0
1.0,0.0,0.0,1,3,64.0,0.0,0.0,0.0,63.80244212962963,0.0
1.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,-0.04680555555555556,0.0
0.0,0.0,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1,0,2.0,0.0,0.0,0.0,1.8589699074074073,0.0
0.0,1.0,1.0,4,1,10.0,0.0,-104.0,-104.0,9.680810185185186,-104.0
0.0,1.0,1.0,2,1,0.0,137.0,0.0,0.0,136.82549768518518,0.0
0.0,0.0,1.0,2,1,1.0,0.0,0.0,0.0,0.5977083333333333,0.0
0.0,0.0,0.0,1,0,1.0,0.0,-52.0,-52.0,0.5162268518518518,-53.0
0.0,0.0,1.0,3,8,1.0,0.0,0.0,0.0,-0.23163194444444443,0.0
0.0,1.0,0.0,6,8,0.0,0.0,-27.0,0.0,0.7504282407407408,-28.0
0.0,0.0,0.0,4,0,1.0,0.0,0.0,0.0,0.5261111111111111,0.0
0.0,0.0,0.0,5,0,1.0,0.0,0.0,0.0,0.5925115740740741,0.0
0.0,0.0,0.0,4,1,1.0,0.0,0.0,0.0,0.6786226851851852,0.0
1.0,0.0,1.0,9,14,0.0,265.0,-178.0,-178.0,-178.31895833333334,-178.0
0.0,0.0,0.0,6,7,0.0,0.0,0.0,0.0,-0.18210648148148148,0.0
0.0,1.0,0.0,3,0,1.0,0.0,0.0,0.0,0.9417592592592593,0.0
0.0,0.0,0.0,1,1,30.0,0.0,0.0,0.0,29.721099537037038,0.0
0.0,1.0,1.0,9,2,1.0,0.0,0.0,0.0,0.48375,0.0
0.0,1.0,1.0,4,0,1.0,0.0,0.0,0.0,0.7409722222222223,0.0
0.0,1.0,1.0,9,3,1.0,0.0,-24.0,0.0,0.9280671296296297,-24.0
0.0,0.0,1.0,7,0,1.0,0.0,0.0,0.0,0.6051967592592593,0.0
0.0,1.0,1.0,8,0,0.0,0.0,0.0,0.0,-0.1652662037037037,0.0
0.0,0.0,0.0,4,5,1.0,0.0,-55.0,0.0,0.6554282407407407,-55.0
0.0,0.0,1.0,9,3,2.0,0.0,0.0,0.0,0.7483449074074074,0.0
0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,-0.4544212962962963,0.0
0.0,0.0,1.0,3,3,0.0,0.0,0.0,0.0,-0.3073958333333333,0.0
0.0,0.0,1.0,5,5,1.0,0.0,-345.0,0.0,-0.05798611111111111,0.0
0.0,0.0,1.0,2,3,0.0,0.0,0.0,0.0,-0.15722222222222224,0.0
0.0,0.0,0.0,2,1,1.0,0.0,-1.0,0.0,-0.1618402777777778,-2.0
0.0,0.0,1.0,9,10,0.0,0.0,-285.0,0.0,-0.18408564814814815,-285.0
0.0,1.0,1.0,4,0,1.0,0.0,-394.0,0.0,0.8353703703703703,-756.0
0.0,0.0,1.0,8,28,1.0,0.0,-83.0,0.0,0.6620370370370371,-83.0
0.0,0.0,0.0,1,0,3.0,0.0,0.0,0.0,2.8732060185185184,0.0
0.0,0.0,1.0,7,1,1.0,0.0,0.0,0.0,0.8417939814814814,0.0
0.0,0.0,1.0,8,9,0.0,0.0,0.0,0.0,-0.45034722222222223,0.0
0.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,0.7031018518518518,0.0
0.0,0.0,0.0,10,13,0.0,0.0,-55.0,-615.0,0.7197916666666667,0.0
0.0,0.0,1.0,9,3,1.0,0.0,-249.0,0.0,0.4930555555555556,0.0
0.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,0.7076041666666667,0.0
1.0,0.0,0.0,1,2,1.0,0.0,0.0,0.0,0.838587962962963,0.0
1.0,0.0,1.0,9,8,0.0,79.0,0.0,0.0,-67.37599537037038,0.0
0.0,0.0,0.0,8,2,132.0,0.0,0.0,0.0,-14.154212962962964,0.0
1.0,0.0,0.0,9,3,2.0,0.0,0.0,0.0,1.5481944444444444,0.0
0.0,0.0,1.0,10,19,0.0,1.0,-385.0,0.0,0.567962962962963,0.0
1.0,0.0,0.0,4,0,1.0,0.0,0.0,0.0,0.6050578703703704,0.0
1.0,0.0,0.0,1,2,48.0,0.0,0.0,0.0,46.81710648148148,0.0
0.0,1.0,0.0,6,4,36.0,0.0,-443.0,0.0,35.82604166666667,0.0
